region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
ft myers / SW florida,6799,2006,volkswagen,0,excellent,5 cylinders,gas,76937,automatic,fwd,compact,convertible,white
ft myers / SW florida,3950,2006,bmw,0,excellent,6 cylinders,gas,209000,automatic,4wd,full-size,sedan,red
ft myers / SW florida,8299,2006,lincoln,1,excellent,6 cylinders,gas,71754,automatic,fwd,full-size,sedan,white
ft myers / SW florida,5999,2008,chrysler,1,excellent,6 cylinders,gas,79030,automatic,fwd,full-size,convertible,silver
ft myers / SW florida,3900,2003,nissan,0,excellent,6 cylinders,gas,109000,automatic,4wd,full-size,SUV,yellow
ft myers / SW florida,2900,2000,ford,1,excellent,4 cylinders,gas,154000,automatic,4wd,full-size,hatchback,red
ft myers / SW florida,5900,2010,honda,0,good,6 cylinders,gas,98000,automatic,fwd,full-size,SUV,blue
ft myers / SW florida,33500,2018,acura,0,excellent,6 cylinders,gas,31826,automatic,fwd,mid-size,SUV,black
ft myers / SW florida,10500,2012,lincoln,1,excellent,4 cylinders,gas,63000,automatic,fwd,mid-size,sedan,black
ft myers / SW florida,7490,2012,volkswagen,0,excellent,4 cylinders,gas,80412,automatic,fwd,compact,sedan,black
ft myers / SW florida,10990,2011,honda,0,excellent,6 cylinders,gas,105164,automatic,fwd,full-size,mini-van,white
ft myers / SW florida,39900,2017,nissan,0,excellent,8 cylinders,gas,47221,automatic,4wd,full-size,SUV,silver
ft myers / SW florida,19500,2014,cadillac,1,like new,6 cylinders,gas,20750,automatic,rwd,mid-size,coupe,custom
ft myers / SW florida,4499,2004,volvo,0,new,6 cylinders,gas,85000,automatic,fwd,full-size,sedan,red
ft myers / SW florida,7399,2013,mazda,0,like new,4 cylinders,gas,137000,automatic,fwd,full-size,SUV,red
ft myers / SW florida,3950,2006,chrysler,1,excellent,6 cylinders,gas,120000,automatic,fwd,full-size,mini-van,blue
ft myers / SW florida,25000,2016,ford,1,excellent,6 cylinders,gas,86000,automatic,4wd,full-size,SUV,white
ft myers / SW florida,3950,2003,toyota,0,excellent,4 cylinders,gas,11200,automatic,fwd,mid-size,sedan,silver
ft myers / SW florida,12900,2016,nissan,0,like new,4 cylinders,gas,58000,automatic,fwd,full-size,sedan,white
ft myers / SW florida,15500,2011,lexus,0,excellent,6 cylinders,gas,25982,automatic,fwd,full-size,sedan,red
ft myers / SW florida,6000,2011,cadillac,1,salvage,8 cylinders,gas,52846,automatic,fwd,full-size,sedan,custom
ft myers / SW florida,11800,2001,bmw,0,excellent,6 cylinders,gas,43000,automatic,rwd,compact,convertible,silver
ft myers / SW florida,26500,2011,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
ft myers / SW florida,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
ft myers / SW florida,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
ft myers / SW florida,27500,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
ft myers / SW florida,5000,2007,bmw,0,good,6 cylinders,gas,153000,automatic,4wd,mid-size,SUV,white
ft myers / SW florida,18950,2011,lexus,0,excellent,6 cylinders,gas,21410,automatic,fwd,mid-size,sedan,blue
ft myers / SW florida,4900,2004,gmc,1,excellent,8 cylinders,gas,251942,automatic,4wd,full-size,SUV,blue
ft myers / SW florida,15000,2015,mazda,0,excellent,4 cylinders,gas,10400,manual,rwd,compact,convertible,red
ft myers / SW florida,7599,2012,chevrolet,1,excellent,4 cylinders,electric,109078,automatic,fwd,mid-size,hatchback,silver
ft myers / SW florida,16298,2014,buick,1,like new,6 cylinders,gas,62122,automatic,fwd,full-size,sedan,red
ft myers / SW florida,13998,2018,kia,0,like new,4 cylinders,gas,15195,automatic,fwd,compact,sedan,black
ft myers / SW florida,12500,2013,kia,0,excellent,4 cylinders,gas,28135,automatic,fwd,compact,wagon,red
ft myers / SW florida,40900,2015,audi,0,excellent,8 cylinders,gas,36263,automatic,4wd,mid-size,sedan,grey
ft myers / SW florida,12500,2012,chevrolet,1,good,8 cylinders,gas,174000,automatic,rwd,full-size,truck,red
ft myers / SW florida,6895,2008,infiniti,0,like new,6 cylinders,gas,184000,automatic,4wd,mid-size,sedan,grey
ft myers / SW florida,3500,2007,lincoln,1,good,6 cylinders,gas,231000,automatic,fwd,mid-size,SUV,custom
ft myers / SW florida,5499,2003,honda,0,like new,6 cylinders,gas,147000,automatic,fwd,full-size,mini-van,silver
ft myers / SW florida,11000,2008,ford,1,good,8 cylinders,diesel,175714,automatic,rwd,full-size,truck,white
ft myers / SW florida,5250,1992,buick,1,good,6 cylinders,gas,122117,automatic,fwd,mid-size,coupe,red
ft myers / SW florida,3295,2001,mercedes-benz,0,good,8 cylinders,gas,82868,automatic,rwd,full-size,sedan,silver
ft myers / SW florida,58500,2019,ram,1,like new,8 cylinders,gas,11500,automatic,4wd,full-size,pickup,red
ft myers / SW florida,7850,2015,chevrolet,1,like new,4 cylinders,gas,23340,automatic,fwd,sub-compact,hatchback,blue
