,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
384666,space coast,9850,2010.0,lincoln,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver
384723,space coast,5000,2004.0,gmc,good,8 cylinders,gas,192723.0,clean,automatic,4wd,full-size,SUV,grey
384974,treasure coast,5900,2008.0,cadillac,good,6 cylinders,gas,190000.0,clean,automatic,4wd,full-size,SUV,black
385049,space coast,28999,2018.0,chevrolet,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
385058,space coast,34999,2017.0,lexus,excellent,8 cylinders,gas,41287.0,clean,automatic,4wd,full-size,SUV,black
385063,space coast,31999,2018.0,ford,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
385259,space coast,6999,2011.0,chevrolet,like new,4 cylinders,gas,109000.0,clean,automatic,fwd,mid-size,sedan,red
385287,space coast,6250,2007.0,pontiac,excellent,6 cylinders,gas,82520.0,clean,automatic,fwd,mid-size,SUV,silver
385402,space coast,25999,2016.0,bmw,excellent,6 cylinders,gas,53898.0,clean,automatic,rwd,full-size,SUV,silver
385411,space coast,30999,2019.0,ford,excellent,6 cylinders,gas,42397.0,clean,automatic,rwd,full-size,truck,custom
385419,space coast,27999,2014.0,ford,excellent,6 cylinders,gas,91788.0,clean,automatic,4wd,full-size,truck,silver
385428,space coast,25999,2019.0,ram,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom
385436,space coast,34999,2017.0,lexus,excellent,8 cylinders,gas,41287.0,clean,automatic,4wd,full-size,SUV,black
385473,space coast,7595,2007.0,toyota,excellent,4 cylinders,gas,72418.0,clean,automatic,fwd,full-size,sedan,silver
385554,treasure coast,11998,2017.0,hyundai,excellent,4 cylinders,gas,74121.0,clean,automatic,fwd,compact,sedan,red
385580,space coast,16488,2017.0,hyundai,excellent,4 cylinders,gas,55873.0,clean,automatic,fwd,mid-size,SUV,white
385669,space coast,9850,2010.0,lincoln,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver
386082,space coast,4500,2015.0,kia,good,4 cylinders,gas,93277.0,clean,automatic,fwd,compact,sedan,black
386158,space coast,4499,1999.0,gmc,excellent,8 cylinders,gas,129000.0,clean,automatic,4wd,full-size,SUV,blue
386275,space coast,9750,1975.0,ford,excellent,8 cylinders,gas,54000.0,clean,automatic,rwd,compact,coupe,silver
388072,treasure coast,4999,2008.0,volvo,excellent,5 cylinders,gas,116000.0,clean,automatic,fwd,full-size,sedan,blue
388074,treasure coast,6596,2009.0,mercedes-benz,excellent,6 cylinders,gas,92000.0,clean,automatic,rwd,full-size,coupe,black
389666,treasure coast,500,1992.0,mercedes-benz,salvage,6 cylinders,gas,200321.0,clean,automatic,rwd,mid-size,coupe,red
391805,st augustine,11500,1997.0,rover,excellent,8 cylinders,gas,148000.0,clean,automatic,4wd,full-size,SUV,yellow
391959,tallahassee,0,2012.0,ford,good,6 cylinders,gas,142565.0,clean,automatic,rwd,full-size,truck,white
391960,tallahassee,7450,2005.0,ford,good,8 cylinders,gas,255593.0,clean,automatic,rwd,full-size,truck,white
391962,tallahassee,4995,2003.0,ford,good,8 cylinders,gas,0.0,clean,automatic,rwd,full-size,truck,grey
391988,tallahassee,2500,1997.0,honda,fair,4 cylinders,gas,127000.0,clean,manual,fwd,full-size,sedan,silver
392000,tallahassee,5790,2003.0,honda,excellent,4 cylinders,gas,149560.0,clean,automatic,fwd,mid-size,SUV,silver
392094,tallahassee,3995,2003.0,lincoln,excellent,8 cylinders,gas,104449.0,clean,automatic,rwd,full-size,SUV,black
392114,tallahassee,3995,2013.0,mazda,like new,4 cylinders,gas,120348.0,clean,automatic,fwd,compact,hatchback,grey
392115,tallahassee,2495,2001.0,ford,like new,4 cylinders,gas,142099.0,clean,automatic,fwd,full-size,sedan,red
392116,tallahassee,2995,2012.0,ford,excellent,4 cylinders,gas,127899.0,clean,automatic,fwd,compact,sedan,white
392124,tallahassee,4900,2002.0,dodge,excellent,6 cylinders,gas,180000.0,clean,automatic,rwd,mid-size,pickup,silver
392129,tallahassee,12000,1971.0,pontiac,good,8 cylinders,gas,95000.0,clean,automatic,rwd,full-size,coupe,black
392141,tallahassee,3995,2008.0,saturn,excellent,6 cylinders,gas,199999.0,clean,automatic,fwd,full-size,SUV,red
392169,tallahassee,3000,2006.0,nissan,excellent,4 cylinders,gas,122891.0,clean,manual,4wd,full-size,sedan,white
392170,tallahassee,7900,2006.0,ford,excellent,8 cylinders,gas,236000.0,clean,automatic,4wd,full-size,truck,green
392303,tallahassee,6500,2010.0,nissan,good,6 cylinders,gas,159000.0,clean,automatic,fwd,full-size,sedan,red
392305,tallahassee,3998,2004.0,jeep,like new,6 cylinders,gas,152695.0,clean,automatic,fwd,mid-size,SUV,white
392309,tallahassee,7998,2016.0,ford,like new,4 cylinders,gas,67553.0,clean,automatic,fwd,compact,sedan,grey
392486,tallahassee,6999,2008.0,honda,excellent,6 cylinders,gas,140000.0,clean,automatic,fwd,full-size,SUV,grey
392551,tallahassee,7999,2011.0,dodge,excellent,6 cylinders,gas,131000.0,clean,automatic,rwd,mid-size,SUV,black
392563,tallahassee,3500,1987.0,ram,fair,8 cylinders,gas,1000000.0,clean,automatic,4wd,full-size,offroad,custom
392564,tallahassee,4500,2005.0,lincoln,excellent,8 cylinders,gas,148413.0,clean,automatic,rwd,full-size,SUV,black
392565,tallahassee,7500,1999.0,ford,good,8 cylinders,diesel,338000.0,clean,automatic,4wd,full-size,pickup,brown
392567,tallahassee,4000,2003.0,acura,good,6 cylinders,gas,180000.0,clean,automatic,4wd,full-size,SUV,grey
392631,treasure coast,9750,1975.0,ford,excellent,8 cylinders,gas,54000.0,clean,automatic,rwd,compact,coupe,silver
401747,treasure coast,8000,2004.0,ford,excellent,8 cylinders,gas,152040.0,clean,automatic,rwd,mid-size,convertible,red
401757,treasure coast,54800,2017.0,ford,excellent,8 cylinders,diesel,9500.0,clean,automatic,4wd,full-size,truck,red
401762,treasure coast,8500,2010.0,hyundai,good,6 cylinders,gas,111000.0,rebuilt,manual,rwd,compact,coupe,black
401787,treasure coast,13500,2008.0,dodge,excellent,8 cylinders,gas,92130.0,clean,automatic,rwd,mid-size,sedan,silver
401794,treasure coast,24800,2012.0,ram,excellent,8 cylinders,gas,59500.0,clean,automatic,4wd,full-size,truck,red
401795,treasure coast,5500,2009.0,hyundai,good,4 cylinders,gas,52515.0,clean,automatic,fwd,sub-compact,hatchback,blue
401813,treasure coast,8600,1991.0,chevrolet,good,8 cylinders,gas,69122.0,clean,automatic,rwd,mid-size,convertible,black
401815,treasure coast,4500,2008.0,nissan,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey
401816,treasure coast,6500,2006.0,honda,good,4 cylinders,gas,176333.0,clean,automatic,fwd,full-size,sedan,blue
401818,treasure coast,3500,2001.0,honda,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red
401831,treasure coast,15900,2016.0,nissan,like new,4 cylinders,gas,25756.0,clean,automatic,fwd,full-size,SUV,silver
401833,treasure coast,10000,2014.0,toyota,excellent,4 cylinders,gas,112000.0,clean,automatic,fwd,full-size,sedan,grey
401840,treasure coast,6000,2001.0,gmc,good,8 cylinders,gas,200000.0,clean,automatic,rwd,full-size,truck,grey
401842,treasure coast,8900,1995.0,ford,good,8 cylinders,gas,133000.0,clean,automatic,4wd,full-size,SUV,white
401873,treasure coast,10500,2007.0,ford,excellent,10 cylinders,gas,165000.0,clean,automatic,rwd,full-size,truck,white
401915,treasure coast,20800,2011.0,chevrolet,excellent,8 cylinders,gas,113608.0,clean,automatic,4wd,full-size,pickup,red
401923,treasure coast,16995,2016.0,kia,like new,4 cylinders,gas,18226.0,clean,automatic,fwd,full-size,sedan,grey
401934,treasure coast,2995,2002.0,chrysler,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,mid-size,sedan,silver
401935,treasure coast,2195,1996.0,toyota,good,4 cylinders,gas,221000.0,clean,automatic,fwd,full-size,sedan,white
401936,treasure coast,3495,2005.0,buick,excellent,6 cylinders,gas,138018.0,clean,automatic,rwd,full-size,sedan,silver
401937,treasure coast,2495,2003.0,saturn,good,4 cylinders,gas,135145.0,clean,manual,fwd,compact,sedan,silver
401958,treasure coast,8700,2018.0,mitsubishi,like new,3 cylinders,gas,60322.0,clean,automatic,fwd,mid-size,sedan,red
401974,treasure coast,79800,2020.0,cadillac,like new,8 cylinders,gas,3345.0,clean,automatic,4wd,full-size,SUV,white
401981,treasure coast,1000,2003.0,volkswagen,fair,4 cylinders,gas,172000.0,clean,manual,fwd,compact,hatchback,silver
402001,treasure coast,8000,1970.0,gmc,good,6 cylinders,gas,300.0,clean,manual,rwd,full-size,truck,white
402009,treasure coast,41700,2015.0,gmc,excellent,8 cylinders,diesel,157800.0,clean,automatic,4wd,full-size,truck,brown
402012,treasure coast,6500,2012.0,nissan,excellent,4 cylinders,gas,89500.0,clean,automatic,fwd,compact,sedan,black
402046,treasure coast,29800,2011.0,ford,excellent,8 cylinders,diesel,165500.0,clean,automatic,4wd,full-size,truck,brown
402050,treasure coast,3695,2008.0,nissan,fair,6 cylinders,gas,152970.0,clean,automatic,fwd,mid-size,sedan,red
402055,treasure coast,1500,2007.0,honda,fair,4 cylinders,gas,230000.0,clean,automatic,fwd,compact,sedan,silver
