,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
144,4499,16.0,normal,new,6 cylinders,gas,85000.0,clean,automatic,fwd,full-size,sedan,red
145,7399,7.0,normal,like new,4 cylinders,gas,137000.0,clean,automatic,fwd,full-size,SUV,red
146,3950,14.0,normal,excellent,6 cylinders,gas,120000.0,clean,automatic,fwd,full-size,mini-van,blue
147,25000,4.0,normal,excellent,6 cylinders,gas,86000.0,clean,automatic,4wd,full-size,SUV,white
148,3950,17.0,normal,excellent,4 cylinders,gas,11200.0,clean,automatic,fwd,mid-size,sedan,silver
149,6900,16.0,luxury,excellent,6 cylinders,gas,150.0,clean,automatic,fwd,full-size,SUV,silver
150,12900,4.0,normal,like new,4 cylinders,gas,58000.0,clean,automatic,fwd,full-size,sedan,white
151,14900,3.0,normal,like new,4 cylinders,gas,69.0,clean,automatic,fwd,mid-size,SUV,grey
152,9500,14.0,normal,excellent,4 cylinders,gas,117.0,clean,automatic,fwd,full-size,SUV,white
153,15500,9.0,luxury,excellent,6 cylinders,gas,25982.0,clean,automatic,fwd,full-size,sedan,red
154,6000,9.0,luxury,salvage,8 cylinders,gas,52846.0,rebuilt,automatic,fwd,full-size,sedan,custom
155,11800,19.0,luxury,excellent,6 cylinders,gas,43000.0,clean,automatic,rwd,compact,convertible,silver
156,26500,9.0,normal,excellent,8 cylinders,diesel,206354.0,clean,automatic,4wd,full-size,truck,white
157,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white
158,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white
159,27500,9.0,normal,excellent,8 cylinders,diesel,152965.0,clean,automatic,4wd,full-size,truck,white
160,5000,13.0,luxury,good,6 cylinders,gas,153000.0,clean,automatic,4wd,mid-size,SUV,white
161,18950,9.0,luxury,excellent,6 cylinders,gas,21410.0,clean,automatic,fwd,mid-size,sedan,blue
162,4900,16.0,normal,excellent,8 cylinders,gas,251942.0,clean,automatic,4wd,full-size,SUV,blue
163,15000,5.0,normal,excellent,4 cylinders,gas,10400.0,clean,manual,rwd,compact,convertible,red
164,7599,8.0,normal,excellent,4 cylinders,electric,109078.0,clean,automatic,fwd,mid-size,hatchback,silver
165,16298,6.0,normal,like new,6 cylinders,gas,62122.0,clean,automatic,fwd,full-size,sedan,red
166,13998,2.0,normal,like new,4 cylinders,gas,15195.0,clean,automatic,fwd,compact,sedan,black
167,12500,7.0,normal,excellent,4 cylinders,gas,28135.0,clean,automatic,fwd,compact,wagon,red
168,40900,5.0,luxury,excellent,8 cylinders,gas,36263.0,clean,automatic,4wd,mid-size,sedan,grey
169,12500,8.0,normal,good,8 cylinders,gas,174000.0,clean,automatic,rwd,full-size,truck,red
170,6895,12.0,normal,like new,6 cylinders,gas,184000.0,clean,automatic,4wd,mid-size,sedan,grey
171,3500,13.0,luxury,good,6 cylinders,gas,231000.0,clean,automatic,fwd,mid-size,SUV,custom
172,5499,17.0,normal,like new,6 cylinders,gas,147000.0,clean,automatic,fwd,full-size,mini-van,silver
173,11000,12.0,normal,good,8 cylinders,diesel,175714.0,clean,automatic,rwd,full-size,truck,white
174,5250,28.0,normal,good,6 cylinders,gas,122117.0,clean,automatic,fwd,mid-size,coupe,red
175,3295,19.0,luxury,good,8 cylinders,gas,82868.0,clean,automatic,rwd,full-size,sedan,silver
176,58500,1.0,normal,like new,8 cylinders,gas,11500.0,clean,automatic,4wd,full-size,pickup,red
177,7850,5.0,normal,like new,4 cylinders,gas,23340.0,clean,automatic,fwd,sub-compact,hatchback,blue
178,1200,17.0,normal,fair,6 cylinders,gas,80000.0,clean,automatic,fwd,mid-size,sedan,white
179,13999,5.0,normal,excellent,6 cylinders,gas,55090.0,clean,automatic,fwd,mid-size,sedan,white
180,7898,8.0,normal,excellent,4 cylinders,gas,69399.0,clean,automatic,fwd,mid-size,convertible,red
181,20698,6.0,normal,excellent,8 cylinders,gas,78297.0,clean,automatic,rwd,full-size,truck,white
182,18798,5.0,normal,excellent,6 cylinders,gas,81351.0,clean,automatic,fwd,full-size,SUV,red
183,17750,3.0,normal,excellent,4 cylinders,gas,16759.0,clean,automatic,4wd,compact,wagon,blue
184,3700,14.0,normal,like new,8 cylinders,gas,170.0,clean,automatic,rwd,full-size,sedan,white
185,21500,1.0,normal,excellent,4 cylinders,gas,5889.0,clean,automatic,fwd,mid-size,SUV,black
186,74900,0.0,luxury,excellent,8 cylinders,gas,8732.0,clean,automatic,4wd,full-size,SUV,white
187,46900,1.0,normal,excellent,4 cylinders,gas,12914.0,clean,automatic,4wd,mid-size,SUV,grey
188,6300,9.0,normal,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,mid-size,sedan,blue
189,3500,18.0,normal,good,8 cylinders,gas,176000.0,clean,automatic,4wd,full-size,pickup,silver
190,6990,8.0,normal,excellent,4 cylinders,gas,80412.0,clean,automatic,fwd,compact,sedan,black
191,7990,6.0,normal,excellent,4 cylinders,gas,95034.0,clean,automatic,fwd,compact,sedan,grey
192,1,52.0,normal,good,8 cylinders,gas,75000.0,clean,automatic,rwd,full-size,coupe,yellow
193,5700,8.0,normal,excellent,4 cylinders,gas,105000.0,clean,automatic,fwd,compact,sedan,black
194,9390,11.0,normal,excellent,6 cylinders,gas,99000.0,clean,automatic,fwd,full-size,SUV,black
195,3800,24.0,luxury,good,8 cylinders,gas,178447.0,clean,automatic,rwd,full-size,sedan,white
196,6500,17.0,normal,good,8 cylinders,gas,189000.0,clean,automatic,4wd,full-size,pickup,black
197,21900,6.0,normal,excellent,4 cylinders,gas,20361.0,clean,automatic,fwd,sub-compact,convertible,white
198,8500,19.0,normal,like new,6 cylinders,gas,17500.0,clean,automatic,fwd,full-size,sedan,white
199,9800,13.0,luxury,excellent,8 cylinders,gas,97000.0,clean,automatic,rwd,full-size,sedan,grey
200,7000,46.0,normal,good,6 cylinders,gas,123000.0,clean,manual,rwd,mid-size,offroad,red
201,3300,18.0,luxury,excellent,4 cylinders,gas,169.0,clean,automatic,fwd,full-size,sedan,silver
202,5800,9.0,normal,excellent,4 cylinders,gas,156000.0,clean,automatic,fwd,mid-size,SUV,white
203,5900,13.0,normal,new,6 cylinders,gas,91000.0,clean,automatic,fwd,full-size,SUV,custom
204,9900,42.0,luxury,excellent,other,gas,43000.0,clean,automatic,rwd,mid-size,convertible,yellow
205,4950,12.0,normal,excellent,6 cylinders,gas,117500.0,clean,automatic,fwd,mid-size,convertible,red
206,10900,5.0,normal,excellent,4 cylinders,gas,52000.0,clean,automatic,fwd,full-size,SUV,white
207,6800,9.0,normal,good,4 cylinders,gas,146123.0,rebuilt,automatic,fwd,full-size,sedan,black
208,15000,48.0,normal,excellent,6 cylinders,gas,90000.0,clean,automatic,rwd,full-size,coupe,custom
209,4999,12.0,luxury,like new,6 cylinders,gas,256256.0,clean,automatic,fwd,mid-size,sedan,black
210,27000,57.0,normal,excellent,8 cylinders,gas,3500.0,clean,automatic,rwd,full-size,coupe,blue
211,8485,18.0,normal,excellent,6 cylinders,gas,127181.0,clean,manual,rwd,full-size,pickup,grey
212,6250,17.0,normal,good,6 cylinders,gas,99545.0,clean,automatic,rwd,mid-size,mini-van,brown
213,6900,7.0,normal,excellent,6 cylinders,gas,133237.0,clean,automatic,fwd,mid-size,mini-van,silver
214,12995,12.0,normal,excellent,8 cylinders,gas,128415.0,clean,automatic,rwd,full-size,SUV,white
215,4985,17.0,normal,excellent,6 cylinders,gas,158247.0,clean,automatic,rwd,mid-size,SUV,yellow
