,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage
41,7299,11.0,luxury,excellent,6 cylinders,gas,156000.0,clean,automatic,rwd,full-size,sedan,silver,very-high
42,15500,8.0,normal,excellent,6 cylinders,gas,149000.0,clean,automatic,rwd,full-size,truck,white,very-high
43,12500,8.0,luxury,excellent,8 cylinders,gas,92000.0,clean,automatic,rwd,full-size,sedan,black,very-high
44,11500,9.0,normal,excellent,6 cylinders,gas,124000.0,clean,automatic,fwd,full-size,sedan,black,very-high
45,23995,7.0,luxury,excellent,8 cylinders,gas,79000.0,clean,automatic,4wd,full-size,SUV,black,very-high
46,12000,10.0,normal,excellent,8 cylinders,gas,143000.0,clean,automatic,4wd,full-size,SUV,black,very-high
47,9500,7.0,normal,like new,6 cylinders,gas,116000.0,clean,automatic,fwd,full-size,SUV,white,very-high
48,9500,11.0,luxury,excellent,8 cylinders,gas,144000.0,clean,automatic,4wd,full-size,SUV,black,very-high
49,8500,7.0,normal,excellent,4 cylinders,gas,120000.0,clean,automatic,fwd,full-size,hatchback,black,very-high
50,8500,8.0,normal,excellent,4 cylinders,gas,102000.0,clean,automatic,fwd,full-size,SUV,white,very-high
51,7500,14.0,normal,excellent,8 cylinders,gas,236000.0,clean,automatic,4wd,full-size,truck,green,very-high
52,5995,9.0,normal,excellent,6 cylinders,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black,very-high
53,500,20.0,normal,good,6 cylinders,gas,250000.0,clean,automatic,4wd,full-size,SUV,grey,very-high
54,1200,18.0,normal,fair,6 cylinders,gas,198459.0,clean,automatic,fwd,full-size,mini-van,blue,very-high
55,3995,13.0,luxury,like new,6 cylinders,gas,85166.0,clean,automatic,rwd,full-size,SUV,black,very-high
56,2995,18.0,normal,like new,6 cylinders,gas,214231.0,clean,automatic,rwd,full-size,SUV,silver,very-high
57,2995,18.0,normal,like new,6 cylinders,gas,218872.0,clean,automatic,rwd,full-size,SUV,black,very-high
58,3495,12.0,normal,like new,4 cylinders,gas,190268.0,clean,automatic,fwd,full-size,sedan,grey,very-high
59,1998,14.0,normal,good,6 cylinders,gas,157813.0,clean,automatic,fwd,mid-size,mini-van,white,very-high
60,2498,19.0,normal,excellent,6 cylinders,gas,133068.0,clean,automatic,fwd,mid-size,sedan,brown,very-high
61,24500,3.0,normal,excellent,6 cylinders,gas,32000.0,clean,other,fwd,full-size,SUV,grey,high
62,5999,9.0,normal,good,4 cylinders,hybrid,141500.0,clean,automatic,fwd,compact,hatchback,white,very-high
